guards people cats curtains people
feline cat dog cat horse
happy delightful sedimentary delightful sad
shouting screaming screaming crying whispering
critical important importantly important unimportant
loved liked liked hated blessed looked enjoyed hatred bottle
solely only only merely cat
delicious tasty flavor tasty meaty
vast big big narrow huge
clarify explain confuse explain die
run sprint walk sprint
quiet whisper whisper
watch look look observe eat drink sleep live laugh love
quick fast slow fast speedy shruberry
unsure WordNotInTrainingFiles uncertain questioning afraid
uncertain ChoicesNotInTrainingFiles unsure flavorful jinglebells
sleep slumber slumber forest dream
family household riot enemy household
mind thought thought affection thought
night darkness darkness light shine
justice fairness fairness bias submission
city town town village forest
sleep slumber slumber slumber darkness
peace harmony enemy harmony war
soldier officer warrior officer peasant
city town town forest village
dark gloomy bright gloomy shiny
day morning rude morning evening
light brightness brightness affection brightness
truth honesty honesty fiction lie
dark gloomy shiny bright gloomy
book novel novel village novel
journey trip trip stay pause
peace harmony harmony chaos war
family household household enemy household
friend companion companion rival enemy
journey trip trip trip stay
light brightness darkness fog brightness
friend companion enemy brightness companion
peace harmony war light harmony
day morning morning midnight morning
kind gentle mean village gentle
friend companion rival companion companion
truth honesty honesty fiction lie
friend companion rival companion enemy
power authority passion authority weakness
soldier officer hate officer warrior
sleep slumber slumber pause awake
city town forest trip town
friend companion companion honesty enemy
family household enemy passion household
peace harmony submission chaos harmony
light brightness brightness fog fight
battle fight riot fight fight
power authority submission weakness authority
day morning morning warrior midnight
dark gloomy gloomy forest gloomy
mind thought flesh thought storm
soldier officer officer darkness officer
dark gloomy bright gloomy shiny
sleep slumber slumber awake town
friend companion morning companion rival
battle fight fight fight riot
peace harmony harmony war chaos
book novel poem gun novel
peace harmony chaos harmony war
journey trip trip peasant pause
battle fight storm fight officer
journey trip stay trip gloomy
battle fight storm riot fight
love affection harmony affection hate
family household household emotion enemy
day morning morning midnight peasant
truth honesty honesty fiction chaos
kind gentle gentle gentle mean
friend companion rival companion pause
day morning morning midnight evening
truth honesty awake fiction honesty
truth honesty honesty lie honesty
love affection passion affection bright
night darkness shine light darkness
book novel novel gun poem
city town village town forest
justice fairness storm fairness bias
power authority weakness submission authority
mind thought midnight emotion thought
friend companion enemy companion rival
journey trip stay trip trip
soldier officer fairness officer peasant
power authority submission weakness authority
justice fairness bias authority fairness
city town village town forest
light brightness warrior fog brightness
dark gloomy bias gloomy bright
power authority weakness authority rude
family household household gloomy enemy
day morning village evening morning
soldier officer submission warrior officer
family household enemy fiction household
soldier officer officer officer peasant
truth honesty honesty fiction lie
justice fairness fairness bias fairness
family household enemy household household
man gentleman girl gentleman woman
mind thought bias thought flesh
night darkness darkness light bright
man gentleman gentleman girl woman
friend companion enemy rival companion
book novel poem novel gun
city town village town town
dark gloomy bright officer gloomy
soldier officer lie officer peasant
soldier officer warrior peasant officer
sleep slumber awake slumber slumber
family household household enemy gloomy
